Historique;Date
BMT-S 19'-0 x 48 x 60I 40T DIN,C 1/4,B45,I12,2T,0MI,0c0c,PORTE PAS INSTALLER;13-04-99
BMT-S 19'-0 x 48 x 60I 40T DIN,C 1/4,B45,I12,2T,0MI,0c0c,PORTE PAS INSTALLER;13-04-99
BFS 13'-0 x 42 x 48I 30T MI;12-04-99
BMS 15'-0 x 42 x 54I 30T MI;12-04-99
BMS 15'-0 x 48 x 60D 30T 2T,MI,0c0cSL,3CD;12-04-99
BMT-S 18'-0 x 54 x 60I 40T DRV,SC01,F3/8,S3/8,C 1/4,PHL,2T,MI,CLÉ,1CD;11-04-99
BMT-S 17'-6 x 54 x 60I 40T PHL,3T,MI,CLÉ,2CD,VIB;11-04-99
BMT-S 17'-6 x 54 x 60I 40T SC01,PHL,2T,MI,CLÉ,3CD;11-04-99
BMT-S 17'-6 x 54 x 60I 40T 2T,MI;11-04-99
BMT-S 18'-0 x 54 x 60I 40T 2T,MI,1CD,VIB;11-04-99
BBFL 11'-0 x 36 x 48I 20T PHL,B45,MI;11-04-99
BFL-S 17'-0 x 5442 x 48I 40T B45,MI;10-04-99
REM-BFL 25'-0 x 48 x 54I 0T C+6,PHL,B45,2T,E1,0c0c,BGR;10-04-99
BMT-S 20'-6 x 48 x 60I 50T SOH,S3/8,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7,LF3/16;10-04-99
BFL-S 16'-6 x 42 x 48D 00 ROLL-OFF,POC,0T0TC,MI,OPM,ROFFROL;10-04-99
BFL-S 13'-0 x 42 x 48D 00 ROLL-OFF,POC,0T0TC,MI,OPM,1CD,ROFFROL;10-04-99
BFL-S 18'-0 x 54 x 60I 40T PHL,MI;09-04-99
